log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,hostname_join_key,src_ip_valid,dst_ip_valid,src_port_status,dst_port_status,bytes_sent_status,bytes_received_status
FW000025762,2026-09-08 00:00:00,ws-12311,,100.65.98.81,,,TCP,ALLOW,17567656,41481667,SID614645,False,BLOCK_TOR_EXIT,US,ws-12311,,True,missing,invalid,valid,valid
FW000001281,2026-08-28 18:43:31,vdr-11602,192.168.95.43,111.92.56.233,22,8443,TCP,ALLOW,31112827,,SID787469,False,ALLOW_OFFICE_APPS,IN,vdr-11602,True,True,valid,valid,valid,missing
FW000011254,2026-08-03 21:45:27,,,,443,445,UDP,ALLOW,25345693,11974738,SID387452,False,,CN,,False,False,valid,valid,valid,valid
FW000023195,2026-08-26 00:00:00,vdr-11634,,192.168.3.234,8443,53,TCP,ALLOW,13253957,21514895,SID908323,False,DENY_TELNET,,vdr-11634,False,True,valid,valid,valid,valid
FW000028119,2026-09-06 22:25:22,lpt-12653,,,3306,25,ICMP,ALLOW,13161436,14561454,SID554345,True,ALLOW_OFFICE_APPS,IN,lpt-12653,False,False,valid,valid,valid,valid
FW000020445,2026-08-29 23:11:00,vdr-12832.corp.local,,,445,22,TCP,ALLOW,7068675,10570328,SID549329,False,DENY_TELNET,US,vdr-12832,,False,valid,valid,valid,valid
FW000024905,2026-08-15 10:21:33,lpt-11956,,167.177.146.207,445,,TCP,ALLOW,25290182,11627809,SID560346,False,,US,lpt-11956,,True,valid,invalid,valid,valid
FW000005166,2026-09-05 05:00:13,lpt-11369,,172.16.158.174,135,,TCP,ALLOW,23213748,24462777,SID894631,False,ALLOW_INTERNAL_DNS,CN,lpt-11369,False,True,valid,invalid,valid,valid
FW000022226,2026-09-08 09:59:50,ws-11475,192.168.21.16,192.168.126.36,,445,UDP,DENY,25293156,49563089,SID531467,False,UNKNOWN,US,ws-11475,True,True,missing,valid,valid,valid
FW000008926,2026-08-29 21:17:28,vdr-12590.corp.local,,131.0.83.122,8080,443,TCP,ALLOW,10091115,31133347,SID136892,False,MONITOR_DB_ACCESS,US,vdr-12590,False,True,valid,valid,valid,valid
FW000028890,2026-08-19 01:31:56,vdr-12732,70.35.16.251,172.16.104.176,53,8080,UDP,ALLOW,9911368,8042548,SID980554,False,MONITOR_DB_ACCESS,IN,vdr-12732,True,True,valid,valid,valid,valid
FW000028684,2026-08-17 11:43:00,vdr-10222,177.183.253.180,,25,135,TCP,DENY,45562481,21507282,SID203267,False,BLOCK_TOR_EXIT,RU,vdr-10222,True,False,valid,valid,valid,valid
FW000024507,2026-08-07 00:00:00,ws-11295,172.16.22.54,,22,,UDP,ALLOW,9841568,49464259,SID911939,False,BLOCK_TOR_EXIT,IN,ws-11295,True,False,valid,missing,valid,valid
FW000017820,2026-08-18 06:40:55,lpt-10475,,,443,,UDP,ALLOW,43204987,17063449,SID646740,False,,RU,lpt-10475,False,False,valid,missing,valid,valid
FW000006891,2026-08-15 12:19:52,ws-12264,192.168.251.90,221.60.118.100,25,3306,TCP,ALLOW,48132142,24381613,SID324887,False,,IN,ws-12264,True,True,valid,valid,valid,valid
FW000005935,2026-08-05 19:24:59,lpt-12239,,172.16.133.67,3389,,UDP,DENY,17458707,23450997,SID595733,False,UNKNOWN,IN,lpt-12239,False,True,valid,invalid,valid,valid
FW000004511,2026-08-30 23:36:00,,,,1433,,TCP,ALLOW,43309537,33034352,SID538080,True,ALLOW_OFFICE_APPS,UNKNOWN,,,False,valid,invalid,valid,valid
FW000012365,2026-09-05 13:40:30,ws-10307.corp.local,,152.164.229.165,8443,25,TCP,ALLOW,18630112,,,False,BLOCK_TOR_EXIT,US,ws-10307,False,True,valid,valid,valid,missing
FW000004287,2026-09-05 15:22:20,ws-10681.corp.local,114.117.133.17,192.168.192.38,,,UDP,ALLOW,447962,,SID437317,False,DENY_TELNET,RU,ws-10681,True,True,missing,missing,valid,invalid
FW000000885,,ws-11076,,,80,443,TCP,DENY,41460906,43921617,SID849594,False,BLOCK_TOR_EXIT,US,ws-11076,False,False,valid,valid,valid,valid
FW000011795,2026-08-30 10:58:49,lpt-12597,,42.129.90.220,445,22,TCP,ALLOW,47262713,14574065,SID489763,False,,IN,lpt-12597,,True,valid,valid,valid,valid
FW000022933,2026-08-26 04:26:22,lpt-10921,,172.16.11.22,8080,8080,TCP,DENY,3062187,47271518,SID532552,False,ALLOW_OFFICE_APPS,RU,lpt-10921,False,True,valid,valid,valid,valid
FW000007269,2026-09-09 18:12:22,ws-12031,,,8443,,TCP,ALLOW,46836487,,SID293987,False,BLOCK_TOR_EXIT,UNKNOWN,ws-12031,False,False,valid,missing,valid,missing
FW000015149,2026-08-13 21:12:00,ws-11986,172.16.72.166,,1433,3389,TCP,ALLOW,,31206045,SID640173,False,ALLOW_OFFICE_APPS,IN,ws-11986,True,False,valid,valid,invalid,valid
FW000018435,,vdr-11602,172.16.52.23,,53,443,TCP,ALLOW,,,SID837299,False,BLOCK_EXTERNAL_RDP,RU,vdr-11602,True,False,valid,valid,invalid,invalid
FW000000543,2026-09-03 08:46:00,ws-10399,192.168.130.3,168.145.143.245,22,,TCP,ALLOW,11723080,31439774,SID805750,False,BLOCK_EXTERNAL_RDP,IN,ws-10399,True,True,valid,missing,valid,valid
FW000028939,2026-09-06 22:40:47,ws-12442,192.168.124.186,,8080,443,TCP,ALLOW,11299176,30189884,SID940224,False,,IN,ws-12442,True,False,valid,valid,valid,valid
FW000004419,2026-09-02 12:55:56,ws-10687,,150.226.65.115,443,,TCP,ALLOW,,14347067,SID194781,False,,,ws-10687,False,True,valid,invalid,invalid,valid
FW000026604,2026-08-28 23:20:31,vdr-12972,,192.168.65.229,,53,TCP,ALLOW,1370225,,SID766928,False,ALLOW_OFFICE_APPS,IN,vdr-12972,False,True,invalid,valid,valid,missing
FW000028316,2026-08-19 19:49:09,lpt-10274,,172.16.113.157,80,,TCP,DENY,13338849,18746249,SID141941,False,MONITOR_DB_ACCESS,UNKNOWN,lpt-10274,False,True,valid,invalid,valid,valid
FW000004227,2026-09-08 02:13:44,lpt-12687.corp.local,172.16.168.142,27.242.118.86,53,8443,ICMP,ALLOW,18237365,15972178,SID843636,False,DENY_TELNET,,lpt-12687,True,True,valid,valid,valid,valid
FW000001863,2026-08-09 09:03:08,lpt-11333,88.85.131.98,,,,TCP,ALLOW,27546672,39525640,SID453699,False,ALLOW_OFFICE_APPS,CN,lpt-11333,True,False,invalid,invalid,valid,valid
FW000004837,2026-08-02 08:13:21,vdr-11157,,192.168.163.52,443,80,TCP,ALLOW,42871624,105636,,False,UNKNOWN,,vdr-11157,False,True,valid,valid,valid,valid
FW000001273,,ws-12555,192.168.238.15,192.168.89.19,1433,8443,UDP,ALLOW,27107772,47662170,SID202384,False,,CN,ws-12555,True,True,valid,valid,valid,valid
FW000023131,2026-08-07 01:58:00,ws-12195,,172.16.111.109,80,,TCP,ALLOW,,,SID943915,False,ALLOW_WEB,RU,ws-12195,False,True,valid,missing,missing,missing
FW000027407,,vdr-11596,,172.16.9.89,443,3306,TCP,ALLOW,29654584,5115054,SID510249,False,ALLOW_WEB,CN,vdr-11596,False,True,valid,valid,valid,valid
FW000002839,2026-08-23 11:05:00,ws-12589,192.168.145.107,192.168.39.158,3306,80,TCP,DENY,6114772,6395976,SID743490,False,DENY_TELNET,UNKNOWN,ws-12589,True,True,valid,valid,valid,valid
FW000000736,2026-08-23 18:59:58,vdr-11199,,52.159.122.226,443,53,TCP,ALLOW,32329750,49667248,SID181105,False,,IN,vdr-11199,False,True,valid,valid,valid,valid
FW000011058,2026-09-04 23:11:03,ws-10181,192.168.56.61,145.128.65.9,,22,UDP,DENY,2081090,7757313,SID109710,False,BLOCK_TOR_EXIT,IN,ws-10181,True,True,missing,valid,valid,valid
FW000017009,2026-08-01 05:09:47,lpt-11239,97.99.9.1,,3306,443,TCP,ALLOW,,11890987,SID419483,False,ALLOW_WEB,CN,lpt-11239,True,False,valid,valid,missing,valid
FW000021354,2026-08-13 11:33:36,vdr-11032,192.168.247.186,105.216.11.1,25,0,TCP,ALLOW,,26429713,,False,BLOCK_TOR_EXIT,RU,vdr-11032,True,True,valid,valid,invalid,valid
FW000016251,2026-08-04 07:05:00,ws-12230,172.16.247.65,201.160.249.102,1433,443,TCP,ALLOW,30287500,29111742,SID973570,False,ALLOW_INTERNAL_DNS,,ws-12230,True,True,valid,valid,valid,valid
FW000016056,2026-09-06 06:39:51,lpt-11721,192.168.244.171,192.168.65.93,25,1433,TCP,ALLOW,49133834,48011857,SID747896,False,DENY_TELNET,IN,lpt-11721,True,True,valid,valid,valid,valid
FW000001522,2026-08-25 22:52:17,lpt-11488,,28.16.142.35,3389,3389,TCP,DENY,15872996,39817596,SID116779,False,ALLOW_OFFICE_APPS,CN,lpt-11488,False,True,valid,valid,valid,valid
FW000028825,2026-08-14 04:36:24,lpt-10654.corp.local,69.18.38.171,,25,3389,UDP,DENY,45110716,19765044,SID176077,False,ALLOW_WEB,IN,lpt-10654,True,False,valid,valid,valid,valid
FW000024271,2026-09-08 20:55:00,,,,8080,22,TCP,ALLOW,9909043,,,False,,UNKNOWN,,False,False,valid,valid,valid,missing
FW000012682,,ws-11690.corp.local,,,8080,443,TCP,DENY,35710376,10906313,,False,ALLOW_WEB,UNKNOWN,ws-11690,False,False,valid,valid,valid,valid
FW000019367,2026-08-29 04:56:24,vdr-11580,,192.168.109.242,,8080,OTHER,ALLOW,30423389,,SID855295,False,,IN,vdr-11580,False,True,missing,valid,valid,invalid
FW000013416,2026-08-19 00:00:00,vdr-11404,89.95.135.137,61.219.56.126,8443,25,TCP,ALLOW,,15685920,SID640786,False,,RU,vdr-11404,True,True,valid,valid,missing,valid
FW000021946,2026-08-09 06:11:48,lpt-12710,,171.7.222.26,3306,3389,TCP,ALLOW,9701679,5708769,SID117433,False,UNKNOWN,CN,lpt-12710,False,True,valid,valid,valid,valid
FW000019091,2026-08-08 20:57:34,vdr-10680,,209.230.188.10,,22,TCP,ALLOW,43675177,15293583,,False,DENY_TELNET,CN,vdr-10680,False,True,missing,valid,valid,valid
FW000023406,2026-08-13 01:52:26,vdr-10231,,45.107.44.254,0,8443,TCP,ALLOW,13327401,32158893,SID119177,False,ALLOW_OFFICE_APPS,US,vdr-10231,False,True,valid,valid,valid,valid
FW000005014,2026-08-30 01:18:09,ws-10629,,158.126.20.131,1433,,TCP,ALLOW,27405495,,SID569824,False,ALLOW_INTERNAL_DNS,,ws-10629,False,True,valid,invalid,valid,invalid
FW000028936,2026-08-18 09:54:51,ws-10739,,48.38.117.62,22,445,TCP,ALLOW,27390745,44535790,SID791144,False,BLOCK_EXTERNAL_RDP,RU,ws-10739,False,True,valid,valid,valid,valid
FW000016819,2026-08-12 09:05:50,lpt-12990,10.96.141.0,152.10.152.55,445,25,UDP,ALLOW,18918709,8811960,SID791189,False,ALLOW_OFFICE_APPS,CN,lpt-12990,True,True,valid,valid,valid,valid
FW000002646,2026-08-26 06:38:05,lpt-10001,192.168.62.6,,22,135,UDP,ALLOW,241458,9552200,SID343737,True,ALLOW_WEB,CN,lpt-10001,True,False,valid,valid,valid,valid
FW000025431,2026-08-04 04:46:58,,172.16.216.230,,135,445,TCP,DENY,33347369,1297182,,True,ALLOW_INTERNAL_DNS,IN,,True,False,valid,valid,valid,valid
FW000025554,2026-08-26 17:27:36,lpt-11212,,,,25,TCP,DENY,10380902,133637,SID541335,False,ALLOW_WEB,RU,lpt-11212,False,False,missing,valid,valid,valid
FW000005709,2026-08-30 04:39:29,vdr-12740,,,,1433,TCP,ALLOW,2440933,45045335,SID523884,False,ALLOW_WEB,CN,vdr-12740,False,False,missing,valid,valid,valid
FW000013174,,vdr-10510,,,443,1433,UDP,DENY,4835689,17817704,SID202714,False,MONITOR_DB_ACCESS,US,vdr-10510,False,False,valid,valid,valid,valid
FW000003249,2026-08-07 17:29:24,ws-12876,,,53,53,TCP,ALLOW,9867100,1922085,SID939774,False,UNKNOWN,CN,ws-12876,False,False,valid,valid,valid,valid
FW000024847,,ws-11723,,133.97.119.52,3306,3306,TCP,ALLOW,27995145,39832322,SID428456,False,BLOCK_TOR_EXIT,RU,ws-11723,False,True,valid,valid,valid,valid
FW000002737,2026-09-07 21:29:32,ws-11462,,172.16.20.129,0,8080,TCP,DENY,5421336,5363542,SID295641,True,DENY_TELNET,US,ws-11462,False,True,valid,valid,valid,valid
FW000020169,2026-09-04 20:29:36,lpt-12628,,172.16.181.251,,,TCP,ALLOW,18527836,47097001,SID692685,False,DENY_TELNET,US,lpt-12628,False,True,missing,invalid,valid,valid
FW000004389,2026-09-07 01:12:26,vdr-10168,,,80,8443,TCP,ALLOW,36580379,27139896,,False,,CN,vdr-10168,False,False,valid,valid,valid,valid
FW000022462,2026-08-10 14:43:00,lpt-11640,192.168.137.144,,8443,25,UDP,ALLOW,44311921,40791081,SID633689,False,BLOCK_EXTERNAL_RDP,UNKNOWN,lpt-11640,True,False,valid,valid,valid,valid
FW000023983,2026-08-05 03:34:38,vdr-12269,10.249.180.0,,3306,8080,UDP,DENY,,38373710,SID428729,False,UNKNOWN,UNKNOWN,vdr-12269,True,False,valid,valid,missing,valid
FW000019935,2026-08-16 07:04:38,lpt-10382,172.16.1.88,,,1433,UDP,DENY,20834071,20569559,SID366333,False,ALLOW_WEB,US,lpt-10382,True,False,invalid,valid,valid,valid
FW000011593,2026-09-06 09:22:54,lpt-10104,192.168.46.134,,135,3389,TCP,ALLOW,6550252,17079474,SID897471,False,UNKNOWN,IN,lpt-10104,True,False,valid,valid,valid,valid
FW000007686,2026-09-03 14:39:26,,,,1433,3306,TCP,ALLOW,10648645,36296299,SID857240,False,BLOCK_TOR_EXIT,IN,,False,False,valid,valid,valid,valid
FW000024631,2026-08-30 20:29:22,ws-10737,192.168.193.157,54.61.48.102,1433,22,TCP,ALLOW,31720012,17369856,SID399206,False,DENY_TELNET,CN,ws-10737,True,True,valid,valid,valid,valid
FW000018283,,lpt-12149,,,53,,TCP,DENY,11002782,34033059,SID796013,False,ALLOW_INTERNAL_DNS,IN,lpt-12149,,False,valid,invalid,valid,valid
FW000001189,2026-09-06 15:04:25,lpt-11465,,78.75.15.190,3389,25,UDP,ALLOW,22307938,12278825,SID104440,False,,US,lpt-11465,False,True,valid,valid,valid,valid
FW000019351,2026-08-06 00:00:00,lpt-11593,,101.144.125.24,3389,25,TCP,ALLOW,30615566,49650214,SID504568,False,ALLOW_WEB,US,lpt-11593,False,True,valid,valid,valid,valid
FW000000328,2026-08-03 08:26:20,ws-12545,,,443,8080,TCP,ALLOW,15834357,8052265,,False,,RU,ws-12545,False,False,valid,valid,valid,valid
FW000008933,2026-09-01 22:58:53,ws-12898,,,80,22,TCP,ALLOW,18350080,,SID676395,False,BLOCK_EXTERNAL_RDP,RU,ws-12898,False,False,valid,valid,valid,missing
FW000008597,2026-08-06 20:35:36,lpt-12506,,192.168.51.12,3389,1433,TCP,DENY,24326963,12396242,SID945857,False,UNKNOWN,US,lpt-12506,,True,valid,valid,valid,valid
FW000002583,,lpt-11977,172.16.203.217,192.168.33.107,135,80,TCP,ALLOW,19391426,24180773,SID819445,False,,RU,lpt-11977,True,True,valid,valid,valid,valid
FW000017456,2026-09-07 01:35:29,ws-11207,10.188.236.0,,3306,135,TCP,ALLOW,,33998824,,False,BLOCK_TOR_EXIT,US,ws-11207,True,False,valid,valid,missing,valid
FW000002029,2026-08-30 03:48:58,lpt-12370,,172.16.88.29,8080,,TCP,ALLOW,35004754,,SID661846,False,BLOCK_EXTERNAL_RDP,IN,lpt-12370,,True,valid,invalid,valid,missing
FW000028660,2026-08-09 10:00:17,lpt-12438,192.168.247.122,58.173.238.122,445,443,TCP,ALLOW,,16205240,SID308803,False,,IN,lpt-12438,True,True,valid,valid,missing,valid
FW000021491,2026-08-16 23:12:07,ws-12745,172.16.21.74,,445,1433,UDP,ALLOW,11094530,39237714,SID146841,False,ALLOW_WEB,,ws-12745,True,False,valid,valid,valid,valid
FW000028437,2026-08-24 18:56:13,ws-12244,192.168.195.226,172.16.52.212,135,8080,UDP,DENY,12797308,45555518,SID550018,False,BLOCK_TOR_EXIT,IN,ws-12244,True,True,valid,valid,valid,valid
FW000009241,2026-08-18 15:11:00,vdr-10492,,12.1.59.216,443,3306,TCP,ALLOW,35412849,46095972,SID282795,True,ALLOW_OFFICE_APPS,RU,vdr-10492,False,True,valid,valid,valid,valid
FW000025528,2026-08-14 09:28:00,lpt-11326,,172.16.168.196,53,3306,TCP,DENY,35531307,30770286,SID151775,False,BLOCK_TOR_EXIT,CN,lpt-11326,False,True,valid,valid,valid,valid
FW000009564,2026-08-25 03:51:36,lpt-12007,192.168.237.10,,,3306,TCP,ALLOW,8145202,6673830,SID452095,False,ALLOW_INTERNAL_DNS,,lpt-12007,True,False,missing,valid,valid,valid
FW000000827,2026-08-04 00:00:00,lpt-10516,172.16.169.71,,443,,TCP,ALLOW,23934047,17946369,SID944151,True,DENY_TELNET,CN,lpt-10516,True,False,valid,missing,valid,valid
FW000004848,2026-08-05 07:21:33,vdr-10427,177.70.210.250,,,3389,TCP,DENY,22565926,39890423,SID892340,False,BLOCK_EXTERNAL_RDP,,vdr-10427,True,False,invalid,valid,valid,valid
FW000003931,2026-08-30 05:38:40,vdr-12945,154.77.62.134,192.168.10.59,,443,UDP,ALLOW,18429698,25856344,,False,,IN,vdr-12945,True,True,invalid,valid,valid,valid
FW000016511,2026-08-16 14:06:00,lpt-10311,83.203.125.182,,,445,UDP,DENY,10979807,28531753,,True,DENY_TELNET,UNKNOWN,lpt-10311,True,False,missing,valid,valid,valid
FW000027258,2026-08-03 23:41:00,lpt-12600,121.100.78.70,68.21.91.23,,25,TCP,ALLOW,44014726,23118067,SID691385,False,ALLOW_WEB,CN,lpt-12600,True,True,missing,valid,valid,valid
FW000004065,2026-08-31 14:25:00,,,,8443,,UDP,ALLOW,40020705,43173731,SID725853,False,,UNKNOWN,,,False,valid,missing,valid,valid
FW000010084,2026-09-05 07:06:42,lpt-12708,192.168.173.111,,445,3389,UDP,ALLOW,28243679,48900700,SID562422,False,BLOCK_TOR_EXIT,RU,lpt-12708,True,False,valid,valid,valid,valid
FW000011703,2026-08-07 16:17:28,ws-12742,172.16.4.87,28.51.135.60,8443,1433,TCP,ALLOW,38842012,29669307,SID684498,False,BLOCK_TOR_EXIT,RU,ws-12742,True,True,valid,valid,valid,valid
FW000000357,2026-08-10 12:39:21,ws-12876,172.16.142.88,,445,445,TCP,DENY,19711485,,SID744368,False,,IN,ws-12876,True,False,valid,valid,valid,invalid
FW000014338,2026-08-20 11:07:00,vdr-12403,,,,3306,TCP,DENY,44341322,30587896,SID363780,False,ALLOW_WEB,RU,vdr-12403,False,False,missing,valid,valid,valid
FW000022481,2026-08-17 17:56:00,ws-11865.corp.local,,,135,0,TCP,ALLOW,,44071649,SID545820,False,ALLOW_INTERNAL_DNS,CN,ws-11865,False,False,valid,valid,missing,valid
FW000023119,2026-08-29 07:23:03,vdr-12187,125.115.6.162,172.16.122.73,1433,135,TCP,ALLOW,,42261765,SID785377,False,BLOCK_EXTERNAL_RDP,,vdr-12187,True,True,valid,valid,missing,valid
FW000024535,,vdr-11861.corp.local,41.192.61.209,172.16.43.5,22,1433,TCP,DENY,12513677,37265624,SID571445,False,,,vdr-11861,True,True,valid,valid,valid,valid
FW000026051,2026-08-17 00:00:00,lpt-10616,192.168.247.254,,,53,UDP,ALLOW,3928075,16583339,SID423587,False,,RU,lpt-10616,True,False,invalid,valid,valid,valid
FW000024000,2026-08-23 03:44:51,ws-12879,,195.3.175.238,8080,22,TCP,ALLOW,10978591,45870439,SID458205,False,UNKNOWN,CN,ws-12879,False,True,valid,valid,valid,valid
FW000020799,2026-08-17 19:28:18,ws-11905,,126.228.228.159,22,135,TCP,DENY,34976770,,SID554507,True,BLOCK_TOR_EXIT,RU,ws-11905,False,True,valid,valid,valid,missing
FW000020006,2026-08-28 00:23:11,vdr-12388,192.168.165.184,48.98.246.161,443,,TCP,ALLOW,,32189108,,False,BLOCK_TOR_EXIT,US,vdr-12388,True,True,valid,invalid,missing,valid
FW000025761,2026-09-03 09:03:40,ws-12346,172.16.34.229,,53,,UDP,DENY,3394161,33992395,SID768765,False,BLOCK_TOR_EXIT,US,ws-12346,True,False,valid,missing,valid,valid
FW000017171,2026-08-22 01:00:58,ws-11362,192.168.173.121,,135,3306,TCP,ALLOW,37263504,11826848,SID387331,False,BLOCK_TOR_EXIT,IN,ws-11362,True,False,valid,valid,valid,valid
FW000029458,2026-08-23 00:00:00,lpt-10262,172.16.3.193,85.100.129.48,3306,25,UDP,DENY,6468825,,,False,,,lpt-10262,True,True,valid,valid,valid,invalid
FW000024512,2026-09-05 00:00:00,vdr-10758,192.168.7.94,192.168.254.103,3389,443,UDP,ALLOW,47077372,45098815,SID769360,False,ALLOW_WEB,CN,vdr-10758,True,True,valid,valid,valid,valid
FW000002268,2026-08-22 03:10:36,vdr-11205,,192.168.155.239,445,22,TCP,ALLOW,28225071,7759271,SID849859,False,ALLOW_OFFICE_APPS,RU,vdr-11205,,True,valid,valid,valid,valid
FW000019536,2026-08-21 10:57:39,vdr-10387,,,,445,TCP,ALLOW,48695280,9770686,SID460082,False,BLOCK_TOR_EXIT,US,vdr-10387,,False,invalid,valid,valid,valid
FW000002116,2026-08-26 04:09:41,ws-11829,192.168.226.84,,1433,443,TCP,ALLOW,46614964,15865051,SID639887,False,BLOCK_TOR_EXIT,CN,ws-11829,True,False,valid,valid,valid,valid
FW000020447,2026-08-13 11:36:06,vdr-12073,195.243.162.160,178.81.247.142,445,22,TCP,DENY,15150728,19937707,SID868474,False,MONITOR_DB_ACCESS,IN,vdr-12073,True,True,valid,valid,valid,valid
FW000003880,2026-08-30 16:36:51,vdr-12487,,221.36.228.219,8080,25,UDP,DENY,,38441898,SID488707,False,,,vdr-12487,False,True,valid,valid,invalid,valid
FW000002358,2026-08-14 06:49:00,vdr-10489,,,3389,1433,TCP,ALLOW,37742669,32803645,SID230748,False,MONITOR_DB_ACCESS,CN,vdr-10489,,False,valid,valid,valid,valid
FW000009667,2026-08-31 07:50:08,lpt-10215,,79.134.9.168,53,25,TCP,ALLOW,39652103,67333,SID627856,False,BLOCK_EXTERNAL_RDP,,lpt-10215,False,True,valid,valid,valid,valid
FW000001746,2026-09-07 01:08:10,vdr-11747,172.16.217.211,192.168.113.236,,443,TCP,ALLOW,3699841,48615967,SID409182,False,DENY_TELNET,,vdr-11747,True,True,invalid,valid,valid,valid
FW000023566,2026-08-19 01:17:16,lpt-10479,,,53,80,UDP,ALLOW,32995841,,SID538659,False,UNKNOWN,IN,lpt-10479,False,False,valid,valid,valid,missing
FW000008825,2026-08-16 14:02:00,lpt-11810,192.168.73.144,,1433,8080,TCP,ALLOW,37874565,28299053,SID970024,False,BLOCK_EXTERNAL_RDP,IN,lpt-11810,True,False,valid,valid,valid,valid
FW000022537,2026-09-02 07:37:00,vdr-12922,,,25,,TCP,ALLOW,21729123,45266038,SID949945,False,DENY_TELNET,,vdr-12922,False,False,valid,invalid,valid,valid
FW000006049,2026-08-05 07:31:55,vdr-10007,172.16.17.233,179.12.177.177,8080,8080,ICMP,ALLOW,41418758,8291577,SID671320,False,,UNKNOWN,vdr-10007,True,True,valid,valid,valid,valid
FW000006651,2026-09-06 00:00:00,vdr-10480,,,8080,445,TCP,ALLOW,933121,41465835,SID335210,False,BLOCK_TOR_EXIT,US,vdr-10480,False,False,valid,valid,valid,valid
FW000006965,,vdr-10458,196.217.222.20,,80,80,TCP,ALLOW,4340537,17541488,SID372419,False,,RU,vdr-10458,True,False,valid,valid,valid,valid
FW000029579,2026-08-13 03:30:00,vdr-12248,152.223.119.166,,3306,3389,OTHER,ALLOW,35358583,45654999,SID117423,False,ALLOW_OFFICE_APPS,CN,vdr-12248,True,False,valid,valid,valid,valid
FW000010629,2026-09-04 19:44:44,vdr-10689,,,443,,TCP,ALLOW,21907633,,SID739371,False,,CN,vdr-10689,False,,valid,missing,valid,invalid
FW000001357,2026-08-03 01:56:00,ws-11347,192.168.5.133,121.185.101.76,8443,53,TCP,DENY,12971031,45859023,,False,UNKNOWN,US,ws-11347,True,True,valid,valid,valid,valid
FW000018440,2026-08-31 10:34:00,lpt-11511,,,25,,TCP,ALLOW,,37965527,SID646770,False,MONITOR_DB_ACCESS,CN,lpt-11511,False,False,valid,missing,invalid,valid
FW000010616,2026-08-26 19:33:20,ws-11260,221.55.167.115,192.168.112.98,0,8080,OTHER,ALLOW,14653509,33524775,SID836340,False,DENY_TELNET,RU,ws-11260,True,True,valid,valid,valid,valid
FW000004974,2026-08-17 10:43:48,vdr-11665,172.16.192.203,,,80,TCP,ALLOW,48125768,40384589,SID622515,False,ALLOW_INTERNAL_DNS,IN,vdr-11665,True,False,invalid,valid,valid,valid
FW000002253,2026-08-19 17:44:17,vdr-11787,,,25,443,TCP,ALLOW,27540115,,SID303340,False,,CN,vdr-11787,False,False,valid,valid,valid,missing
FW000015019,2026-09-07 06:40:02,ws-11924,192.168.102.11,,22,8443,TCP,ALLOW,16074981,33282342,SID535683,False,BLOCK_EXTERNAL_RDP,US,ws-11924,True,False,valid,valid,valid,valid
FW000024636,2026-08-28 00:00:00,vdr-12302,192.168.147.166,192.168.236.214,80,,TCP,ALLOW,37929104,,SID244157,False,DENY_TELNET,IN,vdr-12302,True,True,valid,missing,valid,missing
FW000002790,,vdr-11499,192.168.221.229,172.16.208.39,,135,TCP,ALLOW,2634015,26223064,,False,ALLOW_OFFICE_APPS,,vdr-11499,True,True,missing,valid,valid,valid
FW000003954,,vdr-11449,,,445,53,TCP,ALLOW,,1971323,,False,ALLOW_INTERNAL_DNS,CN,vdr-11449,False,False,valid,valid,missing,valid
FW000016898,2026-08-14 14:35:52,ws-12666,172.16.180.58,24.140.124.73,80,135,ICMP,ALLOW,4902892,,SID825273,False,ALLOW_INTERNAL_DNS,IN,ws-12666,True,True,valid,valid,valid,missing
FW000002086,2026-08-19 20:24:00,vdr-10536,68.74.247.132,124.146.9.213,3389,,TCP,ALLOW,9568273,32885590,SID772797,False,UNKNOWN,UNKNOWN,vdr-10536,True,True,valid,invalid,valid,valid
FW000012790,2026-08-25 05:52:45,ws-11924,143.170.161.91,,445,,TCP,ALLOW,46753868,11025872,SID796827,False,MONITOR_DB_ACCESS,,ws-11924,True,False,valid,missing,valid,valid
FW000027757,,vdr-12052,172.16.191.58,,445,445,TCP,ALLOW,,17923403,,False,,US,vdr-12052,True,False,valid,valid,missing,valid
FW000019389,2026-08-12 17:23:00,lpt-11290,,172.16.209.87,443,53,TCP,ALLOW,16525940,28739389,SID544186,False,MONITOR_DB_ACCESS,RU,lpt-11290,False,True,valid,valid,valid,valid
FW000028393,2026-09-01 00:00:00,ws-12461,,69.212.80.70,,443,TCP,ALLOW,9950109,13752783,SID264545,False,UNKNOWN,RU,ws-12461,False,True,invalid,valid,valid,valid
FW000009888,2026-08-26 20:44:14,ws-10564,127.64.52.236,,445,445,TCP,ALLOW,21446966,6790452,SID739629,False,ALLOW_INTERNAL_DNS,US,ws-10564,True,False,valid,valid,valid,valid
FW000014749,2026-08-28 00:00:00,lpt-12329,,,,445,TCP,ALLOW,,,SID835644,False,UNKNOWN,RU,lpt-12329,False,False,missing,valid,missing,missing
FW000026831,2026-08-30 17:38:39,lpt-12965,,150.68.233.230,445,445,TCP,DENY,16524096,2358285,SID483573,False,BLOCK_EXTERNAL_RDP,RU,lpt-12965,False,True,valid,valid,valid,valid
FW000018913,2026-09-04 09:18:19,lpt-12719,,,8443,,TCP,DENY,38043897,28978137,SID220690,False,ALLOW_WEB,US,lpt-12719,False,False,valid,invalid,valid,valid
